date,family,total_sales,zscore,is_anomaly
2013-01-01,BEVERAGES,0.0,-2.8379899049683135,True
2013-01-01,BREAD/BAKERY,0.0,-4.623239888514075,True
2013-01-01,CLEANING,0.0,-3.422300366390662,True
2013-01-01,DAIRY,0.0,-2.2138495983606137,True
2013-01-01,DELI,0.0,-3.056879884512293,True
2013-01-01,GROCERY I,0.0,-3.1581612357061584,True
2013-01-01,MEATS,0.0,-4.060510762880397,True
2013-01-01,PERSONAL CARE,0.0,-2.4738346964258007,True
2013-01-01,POULTRY,0.0,-2.2765347537261706,True
2013-01-02,CLEANING,3260.0,2.316586409444071,True
2013-01-02,HARDWARE,3.0,2.086055697144598,True
2013-01-06,CLEANING,3168.0,2.154630095524809,True
2013-01-08,HARDWARE,3.0,2.086055697144598,True
2013-01-09,LINGERIE,26.0,2.1703571008105533,True
2013-01-10,HARDWARE,5.0,3.924798326818245,True
2013-01-11,HARDWARE,6.0,4.844169641655069,True
2013-01-15,HARDWARE,3.0,2.086055697144598,True
2013-01-30,AUTOMOTIVE,18.0,2.6657785005685963,True
2013-02-02,LINGERIE,27.0,2.31500748897555,True
2013-02-03,LINGERIE,26.0,2.1703571008105533,True
2013-02-06,AUTOMOTIVE,18.0,2.6657785005685963,True
2013-02-09,HARDWARE,3.0,2.086055697144598,True
2013-02-09,LINGERIE,26.0,2.1703571008105533,True
2013-02-28,HARDWARE,4.0,3.0054270119814217,True
2013-03-03,HOME APPLIANCES,2.0,2.247771645790746,True
2013-03-03,LINGERIE,25.0,2.025706712645557,True
2013-03-05,HOME APPLIANCES,3.0,3.658072484654984,True
2013-03-06,HOME APPLIANCES,2.0,2.247771645790746,True
2013-03-06,LINGERIE,37.0,3.761511370625517,True
2013-03-13,AUTOMOTIVE,22.0,3.608584548023708,True
2013-03-14,SEAFOOD,21.0,2.0487956766439903,True
2013-03-20,HOME APPLIANCES,2.0,2.247771645790746,True
2013-03-22,AUTOMOTIVE,21.0,3.3728830361599305,True
2013-03-22,HOME APPLIANCES,2.0,2.247771645790746,True
2013-03-23,HARDWARE,3.0,2.086055697144598,True
2013-03-24,HARDWARE,3.0,2.086055697144598,True
2013-03-24,HOME APPLIANCES,2.0,2.247771645790746,True
2013-03-27,MEATS,275.645,-2.2569933681800043,True
2013-03-28,MEATS,309.733,-2.033959027087124,True
2013-03-29,MEATS,297.142,-2.1163406683890615,True
2013-04-07,HARDWARE,3.0,2.086055697144598,True
2013-04-13,HARDWARE,3.0,2.086055697144598,True
2013-04-17,HOME APPLIANCES,2.0,2.247771645790746,True
2013-04-18,HOME APPLIANCES,2.0,2.247771645790746,True
2013-04-29,HOME APPLIANCES,3.0,3.658072484654984,True
2013-05-01,HOME APPLIANCES,3.0,3.658072484654984,True
2013-05-01,LAWN AND GARDEN,9.0,2.376157286765619,True
2013-05-02,MEATS,948.808,2.147444150979423,True
2013-05-03,HOME APPLIANCES,3.0,3.658072484654984,True
2013-05-04,BEAUTY,13.0,2.3284993838978343,True
2013-05-05,CLEANING,3350.0,2.4750219339303063,True
2013-05-05,GROCERY I,11062.0,2.168392912756712,True
2013-05-09,POULTRY,1406.111,3.987434239742146,True
2013-05-10,HARDWARE,3.0,2.086055697144598,True
2013-05-11,LAWN AND GARDEN,14.0,3.9897748651644025,True
2013-05-14,HOME APPLIANCES,2.0,2.247771645790746,True
2013-05-16,AUTOMOTIVE,23.0,3.8442860598874864,True
2013-05-17,HOME APPLIANCES,2.0,2.247771645790746,True
2013-05-25,HOME APPLIANCES,2.0,2.247771645790746,True
2013-05-27,HARDWARE,3.0,2.086055697144598,True
2013-05-27,HOME APPLIANCES,2.0,2.247771645790746,True
2013-05-31,HOME APPLIANCES,2.0,2.247771645790746,True
2013-06-02,MEATS,940.072,2.090285385320323,True
2013-06-07,GROCERY II,56.0,2.8603244778767096,True
2013-06-11,AUTOMOTIVE,21.0,3.3728830361599305,True
2013-06-12,HOME APPLIANCES,2.0,2.247771645790746,True
2013-06-13,AUTOMOTIVE,26.0,4.5513905954788205,True
2013-06-21,"LIQUOR,WINE,BEER",179.0,2.220408175039368,True
2013-06-23,AUTOMOTIVE,18.0,2.6657785005685963,True
2013-06-26,AUTOMOTIVE,24.0,4.079987571751264,True
2013-06-27,"LIQUOR,WINE,BEER",218.0,2.862916424309679,True
2013-06-30,HOME APPLIANCES,2.0,2.247771645790746,True
2013-07-01,MEATS,952.755,2.173268973330209,True
2013-07-02,AUTOMOTIVE,29.0,5.258495131070155,True
2013-07-04,HOME APPLIANCES,3.0,3.658072484654984,True
2013-07-04,LINGERIE,25.0,2.025706712645557,True
2013-07-04,MEATS,927.06104,2.005155988154581,True
2013-07-04,SEAFOOD,26.0,2.856495816982149,True
2013-07-05,LINGERIE,40.0,4.195462535120507,True
2013-07-09,HOME APPLIANCES,2.0,2.247771645790746,True
2013-07-13,LINGERIE,26.0,2.1703571008105533,True
2013-07-14,HOME APPLIANCES,2.0,2.247771645790746,True
2013-07-15,HOME APPLIANCES,2.0,2.247771645790746,True
2013-07-16,LINGERIE,25.0,2.025706712645557,True
2013-07-17,LINGERIE,33.0,3.1829098179655304,True
2013-07-23,AUTOMOTIVE,24.0,4.079987571751264,True
2013-07-24,AUTOMOTIVE,27.0,4.787092107342598,True
2013-07-25,LINGERIE,29.0,2.6043082653055434,True
2013-07-29,LINGERIE,36.0,3.6168609824605205,True
2013-07-31,HOME APPLIANCES,2.0,2.247771645790746,True
2013-08-01,LINGERIE,33.0,3.1829098179655304,True
2013-08-01,MEATS,1081.6381,3.0165380793648184,True
2013-08-02,MEATS,946.675,2.133488147413619,True
2013-08-03,LINGERIE,25.0,2.025706712645557,True
2013-08-03,MEATS,991.539,2.427028768124455,True
2013-08-04,HOME APPLIANCES,3.0,3.658072484654984,True
2013-08-04,LINGERIE,38.0,3.9061617587905135,True
2013-08-05,LINGERIE,34.0,3.327560206130527,True
2013-08-05,MEATS,950.53,2.158711023056457,True
2013-08-06,LINGERIE,26.0,2.1703571008105533,True
2013-08-06,MEATS,309.908,-2.0328140197622218,True
2013-08-07,AUTOMOTIVE,18.0,2.6657785005685963,True
2013-08-08,HOME APPLIANCES,2.0,2.247771645790746,True
2013-08-10,HARDWARE,5.0,3.924798326818245,True
2013-08-11,LINGERIE,28.0,2.459657877140547,True
2013-08-14,HOME APPLIANCES,2.0,2.247771645790746,True
2013-08-15,MEATS,952.68896,2.1728368802802858,True
2013-08-17,HARDWARE,3.0,2.086055697144598,True
2013-08-18,LINGERIE,26.0,2.1703571008105533,True
2013-08-20,EGGS,981.0,6.38656066456881,True
2013-08-20,LINGERIE,41.0,4.340112923285504,True
2013-08-26,LINGERIE,26.0,2.1703571008105533,True
2013-08-29,HARDWARE,3.0,2.086055697144598,True
2013-08-30,LINGERIE,33.0,3.1829098179655304,True
2013-09-01,BEAUTY,14.0,2.610945034152387,True
2013-09-01,BREAD/BAKERY,977.0,2.8275519124914896,True
2013-09-01,GROCERY I,10896.0,2.088460894256907,True
2013-09-01,LINGERIE,29.0,2.6043082653055434,True
2013-09-01,MEATS,1002.758,2.500433551999163,True
2013-09-03,HOME APPLIANCES,2.0,2.247771645790746,True
2013-09-04,HOME APPLIANCES,2.0,2.247771645790746,True
2013-09-04,LINGERIE,25.0,2.025706712645557,True
2013-09-05,MEATS,937.153,2.0711866631409603,True
2013-09-07,HARDWARE,4.0,3.0054270119814217,True
2013-09-08,LINGERIE,35.0,3.4722105942955235,True
2013-09-10,LINGERIE,29.0,2.6043082653055434,True
2013-09-12,LINGERIE,25.0,2.025706712645557,True
2013-09-13,HOME APPLIANCES,2.0,2.247771645790746,True
2013-09-14,HOME APPLIANCES,2.0,2.247771645790746,True
2013-09-19,HARDWARE,3.0,2.086055697144598,True
2013-09-22,HARDWARE,3.0,2.086055697144598,True
2013-09-23,EGGS,1013.0,6.634736965084175,True
2013-09-23,LINGERIE,28.0,2.459657877140547,True
2013-09-25,HARDWARE,6.0,4.844169641655069,True
2013-10-01,MEATS,947.31604,2.13768240738822,True
2013-10-02,MEATS,975.469,2.321884381203469,True
2013-10-03,MEATS,935.61,2.061090969984826,True
2013-10-05,HARDWARE,3.0,2.086055697144598,True
2013-10-05,LINGERIE,27.0,2.31500748897555,True
2013-10-06,HARDWARE,3.0,2.086055697144598,True
2013-10-06,LINGERIE,26.0,2.1703571008105533,True
2013-10-06,MEATS,1074.4509,2.9695129556760507,True
2013-10-09,LINGERIE,27.0,2.31500748897555,True
2013-10-11,HOME APPLIANCES,2.0,2.247771645790746,True
2013-10-12,LINGERIE,25.0,2.025706712645557,True
2013-10-13,LINGERIE,34.0,3.327560206130527,True
2013-10-14,HOME APPLIANCES,3.0,3.658072484654984,True
2013-10-17,MEATS,977.785,2.3370377352861698,True
2013-10-19,LINGERIE,29.0,2.6043082653055434,True
2013-10-20,LINGERIE,28.0,2.459657877140547,True
2013-10-21,EGGS,996.0,6.5028933054353875,True
2013-10-24,LINGERIE,57.0,6.654519133925451,True
2013-10-25,HARDWARE,4.0,3.0054270119814217,True
2013-11-01,BREAD/BAKERY,302.0,-2.3201292192165512,True
2013-11-02,"LIQUOR,WINE,BEER",193.0,2.4510521619569157,True
2013-11-03,CLEANING,3466.0,2.679227721045898,True
2013-11-03,GROCERY I,11170.0,2.220396876599958,True
2013-11-03,MEATS,991.129,2.4243461795346852,True
2013-11-04,HOME APPLIANCES,2.0,2.247771645790746,True
2013-11-09,POULTRY,963.275,2.0146803297083467,True
2013-11-10,EGGS,435.0,2.152052537025387,True
2013-11-10,HOME APPLIANCES,2.0,2.247771645790746,True
2013-11-10,POULTRY,1069.449,2.4876662062945516,True
2013-11-14,HOME APPLIANCES,2.0,2.247771645790746,True
2013-11-16,POULTRY,968.953,2.0399747879302885,True
2013-11-18,EGGS,1018.0,6.673514512039701,True
2013-11-23,LINGERIE,34.0,3.327560206130527,True
2013-11-24,HARDWARE,3.0,2.086055697144598,True
2013-11-25,HARDWARE,3.0,2.086055697144598,True
2013-12-01,AUTOMOTIVE,18.0,2.6657785005685963,True
2013-12-01,BEAUTY,12.0,2.046053733643282,True
2013-12-01,DAIRY,991.0,2.063817359066744,True
2013-12-05,MEATS,960.492,2.223891382888869,True
2013-12-06,LINGERIE,36.0,3.6168609824605205,True
2013-12-07,AUTOMOTIVE,17.0,2.430076988704818,True
2013-12-09,FROZEN FOODS,333.0,2.0468649005371833,True
2013-12-09,HOME APPLIANCES,2.0,2.247771645790746,True
2013-12-11,GROCERY I,11683.0,2.4674157048553775,True
2013-12-12,HOME APPLIANCES,2.0,2.247771645790746,True
2013-12-13,FROZEN FOODS,592.62,4.349837464658959,True
2013-12-13,POULTRY,3398.277,12.862171763196413,True
2013-12-15,HARDWARE,3.0,2.086055697144598,True
2013-12-16,GROCERY I,12021.0,2.630168850957389,True
2013-12-17,LINGERIE,29.0,2.6043082653055434,True
2013-12-17,POULTRY,1613.248,4.910191934831685,True
2013-12-18,GROCERY I,13700.0,3.4386378814463745,True
2013-12-18,"LIQUOR,WINE,BEER",489.0,7.327525028213638,True
2013-12-18,POULTRY,2023.563,6.738070699420649,True
2013-12-19,GROCERY II,46.0,2.118207197387328,True
2013-12-20,GROCERY II,51.0,2.489265837632019,True
2013-12-21,FROZEN FOODS,518.077,3.6885999488769334,True
2013-12-21,HARDWARE,5.0,3.924798326818245,True
2013-12-22,FROZEN FOODS,859.38196,6.716163152323048,True
2013-12-23,EGGS,1028.0,6.751069605950753,True
2013-12-23,FROZEN FOODS,906.658,7.135527696889429,True
2013-12-23,GROCERY I,15069.0,4.097836274977894,True
2013-12-23,"LIQUOR,WINE,BEER",227.0,3.0111875587566743,True
2013-12-23,POULTRY,1247.879,3.282539432878051,True
2013-12-24,FROZEN FOODS,524.216,3.7430562641498075,True
2013-12-24,GROCERY II,58.0,3.008747933974586,True
2013-12-24,LINGERIE,26.0,2.1703571008105533,True
